Sample,CO2raw,CO2_ADCv,CO2_AOUTv,ALCraw,ALC_ADCv,ALC_AOUTv,Type,ratio co2/ethanol
1313,1434,1.155,1.68,2340,1.885,2.742,regular,0.612691466
1314,1431,1.153,1.677,2339,1.884,2.741,regular,0.611820503
1315,1437,1.158,1.684,2343,1.888,2.746,regular,0.613255645
1316,1431,1.153,1.677,2338,1.884,2.74,regular,0.612043796
1317,1435,1.156,1.682,2339,1.884,2.741,regular,0.613644655
1318,1437,1.158,1.684,2345,1.889,2.748,regular,0.612809316
1319,1434,1.155,1.68,2346,1.89,2.749,regular,0.61113132
1320,1439,1.159,1.686,2347,1.891,2.75,regular,0.613090909
1321,1441,1.161,1.689,2351,1.894,2.755,regular,0.613067151
1322,1437,1.158,1.684,2343,1.888,2.746,regular,0.613255645
1323,1437,1.158,1.684,2351,1.894,2.755,regular,0.611252269
1324,1435,1.156,1.682,2347,1.891,2.75,regular,0.611636364
1325,1437,1.158,1.684,2345,1.889,2.748,regular,0.612809316
1326,1442,1.162,1.69,2346,1.89,2.749,regular,0.614769007
1327,1437,1.158,1.684,2348,1.892,2.752,regular,0.611918605
1328,1443,1.163,1.691,2347,1.891,2.75,regular,0.614909091
1329,1434,1.155,1.68,2345,1.889,2.748,regular,0.611353712
1330,1437,1.158,1.684,2341,1.886,2.743,regular,0.613926358
1331,1441,1.161,1.689,2351,1.894,2.755,regular,0.613067151
1332,1437,1.158,1.684,2347,1.891,2.75,regular,0.612363636
1333,1441,1.161,1.689,2341,1.886,2.743,regular,0.61574918
1334,1437,1.158,1.684,2353,1.896,2.757,regular,0.61080885
1335,1440,1.16,1.688,2345,1.889,2.748,regular,0.61426492
1336,1444,1.163,1.692,2351,1.894,2.755,regular,0.61415608
1337,1441,1.161,1.689,2357,1.899,2.762,regular,0.611513396
1338,1443,1.163,1.691,2359,1.901,2.764,regular,0.611794501
1339,1443,1.163,1.691,2351,1.894,2.755,regular,0.613793103
1340,1443,1.163,1.691,2345,1.889,2.748,regular,0.615356623
1341,1446,1.165,1.695,2350,1.893,2.754,regular,0.61546841
1342,1466,1.181,1.718,2350,1.893,2.754,regular,0.623819898
1343,1445,1.164,1.693,2346,1.89,2.749,regular,0.615860313
1344,1443,1.163,1.691,2346,1.89,2.749,regular,0.615132776
1345,1443,1.163,1.691,2351,1.894,2.755,regular,0.613793103
1346,1446,1.165,1.695,2349,1.893,2.753,regular,0.615691972
1347,1450,1.168,1.699,2355,1.897,2.76,regular,0.61557971
1348,1443,1.163,1.691,2347,1.891,2.75,regular,0.614909091
1349,1443,1.163,1.691,2349,1.893,2.753,regular,0.614239012
1350,1421,1.145,1.665,2359,1.901,2.764,regular,0.602387844
1351,1449,1.167,1.698,2356,1.898,2.761,regular,0.614994567
1352,1445,1.164,1.693,2349,1.893,2.753,regular,0.614965492
1353,1451,1.169,1.7,2349,1.893,2.753,regular,0.617508173
1354,1448,1.167,1.697,2349,1.893,2.753,regular,0.616418453
1355,1451,1.169,1.7,2354,1.897,2.759,regular,0.616165277
1356,1452,1.17,1.702,2363,1.904,2.769,regular,0.614662333
1357,1446,1.165,1.695,2359,1.901,2.764,regular,0.613241679
1358,1449,1.167,1.698,2356,1.898,2.761,regular,0.614994567
1359,1449,1.167,1.698,2359,1.901,2.764,regular,0.614327062
1360,1448,1.167,1.697,2363,1.904,2.769,regular,0.612856627
1361,1448,1.167,1.697,2359,1.901,2.764,regular,0.613965268
1362,1453,1.171,1.703,2355,1.897,2.76,regular,0.617028986
